"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
16080811,2016,"Women",43,15,1,2,2,1,0,0,1,1,2,"876",876001,"CALI",NA,4,NA,3,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Valle del Cauca",1
16080885,2016,"Men",46,11,2,2,2,1,NA,NA,1,NA,1,"868",868001,"BUCARAMANGA",NA,4,NA,5,NA,1,6,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Santander",0
16081498,2016,"Men",47,8,2,1,1,1,0,0,1,0,1,"823",823189,"CIENAGA DE ORO",NA,9,NA,9,NA,1,4,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"Córdoba",0
16080947,2016,"Men",66,5,2,2,2,0,0,0,1,0,1,"813",813430,"MAGANGUE",8,NA,7,NA,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,"Bolívar",0
16081144,2016,"Women",43,9,2,2,2,1,0,1,0,0,1,"870",870001,"SINCELEJO",7,NA,8,NA,0,1,3,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,5,5,NA,NA,NA,"Sucre",0
16081538,2016,"Women",47,17,2,2,2,1,1,1,1,1,2,"811",811001,"BOGOTA",NA,1,NA,1,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Bogotá, D.C.",0
16081312,2016,"Women",29,11,2,2,2,1,0,0,0,0,1,"817",817272,"FILADELFIA",NA,1,NA,1,NA,1,1,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Caldas",1
16080423,2016,"Men",49,8,2,2,2,1,1,1,1,1,3,"805",805001,"MEDELLIN",9,NA,10,NA,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,"Antioquia",1
16080707,2016,"Women",49,13,2,2,2,1,0,1,1,1,1,"823",823001,"MONTERIA",NA,7,NA,9,NA,1,6,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Córdoba",0
16081503,2016,"Women",58,11,2,2,2,1,0,1,1,1,1,"876",876001,"CALI",9,NA,9,NA,NA,1,9,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,1,2,NA,NA,NA,"Valle del Cauca",1
16080886,2016,"Men",20,7,2,2,1,1,0,0,1,1,1,"811",811001,"BOGOTA",3,NA,9,NA,NA,1,NA,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"Bogotá, D.C.",0
16080801,2016,"Men",58,4,2,2,2,0,0,0,1,0,1,"854",854001,"CUCUTA",7,NA,7,NA,0,1,6,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"Norte de Santander",0
16081265,2016,"Women",20,12,2,2,2,1,0,0,1,0,2,"820",820228,"CURUMANI",NA,6,NA,5,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Cesar",0
16080407,2016,"Women",43,5,1,2,2,0,0,0,1,1,1,"876",876275,"FLORIDA",NA,3,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Valle del Cauca",1
16080745,2016,"Men",37,18,1,2,2,1,0,1,1,1,3,"805",805001,"MEDELLIN",NA,10,NA,7,NA,1,5,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Antioquia",1
16080111,2016,"Women",35,11,2,2,2,1,0,1,1,0,2,"811",811001,"BOGOTA",NA,5,NA,7,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Bogotá, D.C.",0
16081011,2016,"Women",41,3,2,2,2,1,0,0,NA,0,3,"850",850001,"VILLAVICENCIO",1,NA,2,NA,NA,1,7,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,"Meta",0
16080573,2016,"Men",42,11,2,2,2,1,1,1,1,1,1,"805",805400,"LA UNIÃ“N",NA,2,NA,7,NA,1,7,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Antioquia",0
